Actual,Pred
2.0,1.4334845542907708
2.0,1.9681101679801933
3.0,0.8481034934520714
3.0,1.3957462191581718
2.5,2.417765831947326
1.0,1.446723818778991
-1.0,-4.018450140953065
-3.4,-3.3322672605514536
-4.0,-4.079048252105714
0.0,-1.197860872745515
0.10000000000000002,-0.1750457689166078
-1.0,-0.38092171698808763
2.0,0.6105358719825736
4.3,1.432792139053344
3.0,3.0959630012512203
2.0,3.0697079420089715
3.1,-0.2901388615369806
2.0,0.23044143915176304
0.0,-0.011260372400284702
1.5,-0.385707177221776
2.0,0.39248830080032265
-2.0,-1.5861264407634745
-3.9,-3.396913552284242
-3.0,-4.128910517692567
1.0,0.26688327789306554
3.7000000000000006,1.2685705542564385
2.0,2.5807341575622553
1.0,2.37791724205017
0.20000000000000004,1.0094034671783438
-1.0,-1.1629800677299509
5.0,2.936194229125976
4.3,4.232003474235534
3.0,2.642602109909057
-2.0,-0.6623354136943826
-0.20000000000000004,-2.7765542864799513
-1.0,-0.8793943405151377
1.0,2.997838401794433
1.3,0.7728912055492393
0.0,-0.10630267411470502
-1.0,-2.4470993041992197
-1.2,-2.9866778254508985
0.0,-1.9351148009300243
-2.0,-2.062191748619081
-2.5,-3.7007214307785046
-1.0,-2.7201783895492566
4.0,4.09105544090271
3.5,3.2105654716491694
4.0,1.4271762609481804
4.0,4.084890341758728
4.8,2.612915658950805
3.0,2.771144318580627
5.0,7.827121019363403
3.7999999999999994,4.517992043495178
4.0,2.624160742759704
3.0,5.451131916046142
1.8,2.0476481914520255
0.0,0.11327394843101414
8.0,6.195514249801636
8.5,5.863676881790161
7.0,5.031543779373169
3.0,4.718430757522582
4.7,1.8837765336036676
4.0,2.384148669242858
5.0,6.294605255126953
5.599999999999999,3.2009745597839347
4.0,3.5251206636428827
-2.0,-1.3887664794921886
-3.6,-2.783181047439576
-2.0,-3.715860652923585
4.0,2.4261271953582755
4.6,2.986423778533935
4.0,2.552616643905639
2.0,2.989820456504821
2.1,0.2672806262969962
1.0,0.25685712695121676
5.0,4.718024110794067
5.499999999999999,3.9642681360244745
7.0,3.5724757909774776
4.0,1.578913760185241
5.0,3.3778537988662714
7.0,3.8606274604797357
-2.0,-0.2523738130927095
-3.0,-1.9910343050956736
-1.0,-3.3129695177078258
10.0,7.744647979736328
9.6,7.871055603027344
10.999999999999998,6.629883003234863
-3.0,-2.8148375034332287
-4.1,-4.513857746124269
-5.0,-5.316004991531374
-3.0,-2.6977082133293164
-1.6000000000000003,-4.982652616500856
-3.0,-3.6822236537933364
-6.0,-6.816789293289186
-7.3,-6.515002870559694
-7.8,-7.535728931427004
0.9,3.573111486434936
-1.3,0.19927694201469334
-1.1,-1.550608390569688
-4.0,-5.0248794078826915
-6.1,-6.105586481094361
-8.0,-6.9017443656921404
2.9,1.9992491722106926
2.1,2.3675055980682367
2.0,0.8581490933895103
-0.6999999999999998,1.0806501746177666
-1.3999999999999997,-0.566419631242753
-3.1,-1.5808273255825054
-5.499999999999999,-3.7183842182159434
-4.7,-4.857724976539613
-5.9,-4.502487444877626
2.5,-1.3382706105709086
1.3,1.4763984918594353
2.7000000000000006,-0.30177193731069657
1.8999999999999997,1.1740143418312066
1.5,1.2759844183921807
2.7000000000000006,0.31570901274681007
3.0,-0.433070246875287
1.3999999999999997,2.1821419477462762
0.6999999999999998,0.7778317153453819
-2.0,-2.2229230523109447
-1.6000000000000003,-2.0489684462547313
-3.2000000000000006,-1.6976318717002878
0.4000000000000001,0.5353432655334465
1.8999999999999997,-0.7206953600049029
1.7,0.6068705499172202
-2.0,-1.13346610069275
-0.8000000000000002,-2.280287051200868
-2.7999999999999994,-1.2369889974594126
-5.3,-2.6641420364379895
-3.6,-4.588742113113405
-2.3,-2.48609802722931
-5.0,-4.701666235923768
-6.1,-5.4534726619720475
-7.0,-5.586819934844972
-6.400000000000001,-5.5327697038650525
-4.4,-6.299591684341432
-6.2,-4.328455352783204
-10.2,-8.141959857940675
-8.5,-9.29002027511597
-8.0,-7.300609016418458
1.7,-0.05253160595893949
3.7999999999999994,0.8518153846263877
2.5,2.245973086357116
-10.3,-7.771113538742067
-11.8,-9.679036140441896
-12.2,-10.381787395477296
-2.0,-2.1633355140686046
-4.2,-4.125988674163819
-2.7999999999999994,-5.414962100982668
2.2000000000000006,2.9102450847625727
2.1,0.625428378582
1.8999999999999997,0.21501544117927465
-8.6,-7.156526517868044
-7.400000000000001,-9.42320513725281
-6.8,-8.005152368545534
-2.4,-0.5240342162549505
-1.7,-2.535888695716859
-2.2,-2.0519226789474496
5.8,3.7231275558471673
7.400000000000001,4.091631627082824
8.1,4.186602234840392
0.9,2.623921155929565
-0.4000000000000001,0.22037181854247961
1.6000000000000003,-1.7235517263412485
0.0,0.41304410696029575
2.7999999999999994,-1.2078101575374613
3.0,0.6720511078834526
6.599999999999999,2.1306958675384515
6.599999999999999,4.750818681716918
8.7,4.55427131652832
4.2,4.0954361915588375
3.9,3.8330151557922356
2.7999999999999994,2.539465713500976
4.4,5.406467103958129
6.400000000000001,3.7218360185623163
5.2,4.906303405761718
6.400000000000001,4.321316981315612
8.2,5.734211349487304
6.0,6.736598634719848
0.8000000000000002,2.8247364521026603
0.0,0.9563410282135002
-1.6000000000000003,-0.37178374975919815
-4.3,-2.328325605392457
-5.2,-3.484886860847474
-5.0,-5.260042715072633
1.8,1.2155694842338554
3.1,-0.11214709728956312
3.9,0.7907329857349388
2.2000000000000006,-0.34531659185886476
2.2000000000000006,1.7860630750656121
3.5,1.7117225050926201
-0.4000000000000001,-0.7344637960195551
-2.4,-0.6311418786644946
-0.4000000000000001,-3.2980509757995615
1.3999999999999997,2.396061992645263
0.6999999999999998,0.8057902276515952
-1.1,-0.4385420396924028
-8.0,-8.801468944549562
-10.2,-10.713405942916872
-9.0,-11.071318912506106
-2.5,-0.9952130317687998
-3.1,-2.6812934160232555
-4.1,-3.500865411758424
-10.800000000000002,-7.203912019729616
-11.9,-8.887611722946168
-12.7,-10.907696914672853
4.4,3.0833467245101924
4.4,3.711377882957458
2.4,3.0453686475753776
2.4,0.8579332172870627
4.3,2.200098252296447
6.1,3.124632835388183
-0.6999999999999998,1.2183812975883477
-2.0,-0.5275436848402033
0.0,-2.9538156867027294
-2.5,1.5610499739646904
-4.2,-1.3031859397888195
-4.4,-3.990074753761293
-5.400000000000001,-3.831533980369569
-7.3,-5.792660665512086
-8.1,-7.918248987197877
-1.8999999999999997,2.376449036598205
-3.0,-0.6972990125417718
-3.4,-2.954333603382112
-1.1,3.3666347503662104
-2.4,-0.10961082428693861
-3.0,-2.0708367109298718
-2.2,-0.9510331273078928
-1.3,-2.39653857946396
-2.9,-1.847835922241212
-4.0,-2.8064834237098704
-5.7,-6.148157930374147
-6.0,-7.500360584259035
-5.8,-3.9380772829055797
-5.1,-5.428291249275209
-3.7999999999999994,-5.648715162277223
-9.6,-9.524465131759646
-8.6,-9.677680444717408
-10.0,-8.488810920715334
0.0,-0.8229188740253458
-1.2,-2.6065418601036083
0.0,-3.8842932939529433
